gene_symbol,phenotype,mendelian_disease_group,ground_truth
LBR,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PSEN2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LYST,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
KLF6,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IL2RA,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
GATA3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
DCLRE1C,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CUBN,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CACNB2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MLLT10,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ANKRD26,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CXCL12,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CHAT,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MBL2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
EGR2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PRF1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SGPL1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SLC29A3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MSS51,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
POLR3A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PTEN,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
FAS,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
KIF11,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
HELLS,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CYP2C19,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
BLNK,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CHUK,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NFKB2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CYP17A1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
COL17A1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ADRB1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IRF7,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD81,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
STIM1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
HBB,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PTH,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
KCNJ11,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ABCC8,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TSG101,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD44,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RAG1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RAG2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SLC35C1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MAPK8IP1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LRP4,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RAPSN,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SERPING1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
GIF,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MS4A1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
FERMT3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
BANF1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PACS1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TCIRG1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
FADD,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NUMA1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CAPN5,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PICALM,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
EED,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CTSC,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MMP1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ATM,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CRYAB,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
DLAT,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD3E,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD3D,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD3G,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
KMT2A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TIRAP,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
KCNA1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
VWF,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TNFRSF1A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD27,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD4,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
C1S,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
C1R,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
AICDA,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CLEC7A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ETV6,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
KRAS,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IRAK4,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
VDR,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
COL2A1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
KMT2D,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
STAT2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TBK1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LEMD3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IFNG,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
UNG,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
HNF1A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ORAI1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
POLE,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
FLT3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
BRCA2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RFXAP,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
COG6,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
FOXO1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TNFSF11,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ATP7B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LIG4,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IRS2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PNP,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TGM1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NFKBIA,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
GPHN,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PSEN1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TGFB3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TSHR,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TRIP11,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SERPINA1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
BCL11B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
AMN,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
AKT1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SNRPN,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NSMCE3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
BUB1B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
B2M,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
BLOC1S6,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
FBN1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MYO5A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RAB27A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LIPC,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PML,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SEMA7A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
HOMER2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LMF1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CREBBP,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CIITA,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SCNN1B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IL4R,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IL21R,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CLN3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD19,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LAT,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CORO1A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
STX1B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NOD2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CDH1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
AARS,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
KARS,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PLCG2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IRF8,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CYBA,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RPH3AL,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
VPS53,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SHPK,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CHRNE,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NLRP1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TP53,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PMP22,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TNFRSF13B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NOS2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
FOXN1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
UNC119,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CCL2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CCL11,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CCL5,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
HNF1B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
KRT25,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
HCRT,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
STAT5B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
STAT3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CAVIN1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PSMC3IP,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
UBTF,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SLC4A1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ITGB3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TBX21,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD79B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PRKAR1A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CANT1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CARD14,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
GCGR,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LAMA3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
DSG1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
DSG4,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
EPG5,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MYO5B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TCF4,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TCF7L2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MALT1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
BCL2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
BSG,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ELANE,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CFD,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
AP3D1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
C3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD209,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TYK2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LDLR,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ACP5,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MAN2B1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RNASEH2A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CALR,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CACNA1A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
JAK3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SLC5A5,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IL12RB1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PIK3R2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RFXANK,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SLC7A9,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CEBPA,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
GPI,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TYROBP,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IFNL3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
AKT2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CYP2B6,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TGFB1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
APOE,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RELB,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ERCC2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LIG1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
BAX,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PNKP,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TPO,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RNASEH1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ADAM17,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NBAS,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SLC3A1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TTC7A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
EPCAM,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MSH2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NRXN1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
GFPT1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD207,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
DYSF,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CYP26B1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SFTPB,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD8A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ZAP70,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
EDAR,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MERTK,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IL1B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IL1RN,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PAX8,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
GYPC,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
BIN1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ERCC3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PROC,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CXCR4,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ITGB6,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IFIH1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
LRP2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
GAD1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CDCA7,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
WIPF1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CHRNA1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NEUROD1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
STAT1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CASP10,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CASP8,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
BMPR2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CTLA4,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ICOS,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SMARCAL1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CXCR1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NHEJ1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IRS1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
COL4A3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SLC19A3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SP110,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CHRNG,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SAG,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MLPH,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PDCD1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RBCK1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TGM6,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SNRPB,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
AVP,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PCNA,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
BMP2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
DNMT3B,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ITCH,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SAMHD1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
HNF4A,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ADA,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
STK4,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MMP9,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CD40,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
MC3R,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CTCFL,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RTEL1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
APP,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IFNAR2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IFNGR2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RUNX1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
AIRE,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ITGB2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
FTCD,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IL17RA,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ADA2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TBX1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
BCR,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
IGLL1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SMARCB1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TCN2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
NCF4,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
CSF2RB,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
RAC2,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TNFRSF13C,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
A4GALT,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
ALG12,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
SHANK3,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
TRNT1,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
PPARG,PASS_Primary_biliary_cirrhosis,Immune_Dysregulation,1
