chr,start,stop,gene_symbol,strand,mendelian_disease_group
19,42788816,42799949,CIC,+,Autism
19,44010870,44031396,ETHE1,-,Autism
19,50410083,50432799,NUP62,-,Autism
2,3383445,3483342,TRAPPC12,+,Autism
2,27440257,27466654,CAD,+,Autism
2,27587218,27592919,EIF2B4,-,Autism
2,44113362,44223144,LRPPRC,-,Autism
2,50145642,51259674,NRXN1,-,Autism
2,74362527,74375039,BOLA3,-,Autism
2,86066270,86116157,ST3GAL5,-,Autism
2,145141941,145277958,ZEB2,-,Autism
2,148778579,149271044,MBD5,+,Autism
2,152689285,152955593,CACNB4,-,Autism
2,166152282,166248820,SCN2A,+,Autism
2,166845669,166930180,SCN1A,-,Autism
2,167051696,167232497,SCN9A,-,Autism
2,191069359,191184771,HIBCH,-,Autism
20,8112911,8865547,PLCB1,+,Autism
20,44650328,44688789,SLC12A5,+,Autism
21,34915349,34949812,SON,+,Autism
22,19744225,19754855,TBX1,+,Autism
22,51113069,51171640,SHANK3,+,Autism
3,3168599,3190706,TRNT1,+,Autism
3,15643254,15687325,BTD,+,Autism
3,33038099,33138694,GLB1,-,Autism
3,41240941,41281939,CTNNB1,+,Autism
3,49454210,49460111,AMT,-,Autism
3,155544300,155572248,SLC33A1,-,Autism
3,183852809,183863099,EIF2B5,+,Autism
3,191857181,192126838,FGF12,-,Autism
4,1795038,1810599,FGFR3,+,Autism
4,2061238,2070816,NAT8L,+,Autism
4,3076407,3245687,HTT,+,Autism
4,3076407,3245687,SLC6A4,+,Autism
4,41992522,42089551,SLC30A9,+,Autism
4,47033294,47428447,GABRB1,+,Autism
4,89442724,89442940,PIGY,-,Autism
4,106967232,107237423,TBCK,-,Autism
4,128838959,128887139,MFSD8,-,Autism
5,218355,256814,SDHA,+,Autism
5,98190907,98262238,CHD1,-,Autism
5,118788137,118878030,HSD17B4,+,Autism
5,127593600,127873735,FBN2,-,Autism
5,130506640,130541119,LYRM7,+,Autism
5,149432853,149492935,CSF1R,-,Autism
5,161275541,161326965,GABRA1,+,Autism
6,33387846,33421466,SYNGAP1,+,Autism
6,157099063,157531913,ARID1B,+,Autism
6,158530535,158589312,SERAC1,-,Autism
7,66093867,66108216,KCTD7,+,Autism
7,114055051,114333827,FOXP2,+,Autism
7,145813452,148118088,CNTNAP2,+,Autism
8,1711869,1734736,CLN8,+,Autism
8,22225049,22280249,SLC39A14,+,Autism
8,140742585,141468678,TRAPPC9,-,Autism
9,6532463,6645692,GLDC,-,Autism
9,36214438,36277053,GNE,-,Autism
9,88879462,88897490,ISCA1,-,Autism
9,111899580,111929571,FRRS1L,-,Autism
9,130374485,130454995,STXBP1,+,Autism
9,130965662,131017527,DNM1,+,Autism
9,135766734,135820020,TSC1,-,Autism
9,138594030,138684993,KCNT1,+,Autism
9,140513443,140730578,EHMT1,+,Autism
1,9294862,9331394,H6PD,+,Body_Mass_Disorder
1,12040237,12073572,MFN2,+,Body_Mass_Disorder
1,27237974,27240567,NR0B2,-,Body_Mass_Disorder
1,31342312,31381480,SDC3,-,Body_Mass_Disorder
1,32666201,32670991,CCDC28B,+,Body_Mass_Disorder
1,45965855,45976739,MMACHC,+,Body_Mass_Disorder
1,65886130,66103176,LEPR,+,Body_Mass_Disorder
1,169481191,169555769,F5,-,Body_Mass_Disorder
1,193091087,193223942,CDC73,+,Body_Mass_Disorder
1,209878135,209908295,HSD11B1,+,Body_Mass_Disorder
1,223282747,223316624,TLR5,-,Body_Mass_Disorder
10,27293044,27389427,ANKRD26,-,Body_Mass_Disorder
10,72643266,72648541,PCBD1,-,Body_Mass_Disorder
10,89623194,89728532,PTEN,+,Body_Mass_Disorder
10,94352824,94415152,KIF11,+,Body_Mass_Disorder
11,818900,825571,PNPLA2,+,Body_Mass_Disorder
11,2150341,2162341,IGF2,-,Body_Mass_Disorder
11,2185158,2193035,TH,-,Body_Mass_Disorder
11,17414431,17498449,ABCC8,-,Body_Mass_Disorder
11,27676441,27722600,BDNF,-,Body_Mass_Disorder
11,45907046,45928016,MAPK8IP1,+,Body_Mass_Disorder
11,66278118,66301084,BBS1,+,Body_Mass_Disorder
11,67250504,67258579,AIP,+,Body_Mass_Disorder
11,71935881,71950188,INPPL1,+,Body_Mass_Disorder
11,73711325,73720282,UCP3,-,Body_Mass_Disorder
11,107578100,107582787,SLN,-,Body_Mass_Disorder
11,122943032,123066007,CLMP,-,Body_Mass_Disorder
11,128761312,128787951,KCNJ5,+,Body_Mass_Disorder
12,6949374,6956557,GNB3,+,Body_Mass_Disorder
12,49412757,49449107,KMT2D,-,Body_Mass_Disorder
12,121416548,121440314,HNF1A,+,Body_Mass_Disorder
13,28494167,28500451,PDX1,+,Body_Mass_Disorder
13,41129800,41240734,FOXO1,-,Body_Mass_Disorder
13,47405676,47471211,HTR2A,-,Body_Mass_Disorder
13,103696347,103719196,SLC10A2,-,Body_Mass_Disorder
13,110406183,110438914,IRS2,-,Body_Mass_Disorder
15,23888695,23892993,MAGEL2,-,Body_Mass_Disorder
15,23930553,23932450,NDN,-,Body_Mass_Disorder
15,25101697,25223729,SNRPN,+,Body_Mass_Disorder
15,25582395,25684175,UBE3A,-,Body_Mass_Disorder
15,44854893,44955876,SPG11,-,Body_Mass_Disorder
15,51500253,51630795,CYP19A1,-,Body_Mass_Disorder
15,58724174,58861073,LIPC,+,Body_Mass_Disorder
15,72978519,73030817,BBS4,+,Body_Mass_Disorder
15,89859535,89878026,POLG,-,Body_Mass_Disorder
15,90207599,90222648,PLIN1,-,Body_Mass_Disorder
16,903634,1020984,LMF1,-,Body_Mass_Disorder
16,3775055,3930121,CREBBP,-,Body_Mass_Disorder
16,14014013,14046205,ERCC4,+,Body_Mass_Disorder
16,31470316,31478488,ARMC5,+,Body_Mass_Disorder
16,53737874,54148379,FTO,+,Body_Mass_Disorder
16,56518258,56554008,BBS2,-,Body_Mass_Disorder
16,56995834,57017756,CETP,+,Body_Mass_Disorder
16,67516473,67517716,AGRP,-,Body_Mass_Disorder
17,17584786,17714765,RAI1,+,Body_Mass_Disorder
17,36046433,36105096,HNF1B,-,Body_Mass_Disorder
17,40336077,40337470,HCRT,-,Body_Mass_Disorder
17,42325757,42345502,SLC4A1,-,Body_Mass_Disorder
17,66507920,66529570,PRKAR1A,+,Body_Mass_Disorder
17,79762009,79771889,GCGR,+,Body_Mass_Disorder
18,29171729,29178986,TTR,+,Body_Mass_Disorder
18,58038563,58040001,MC4R,-,Body_Mass_Disorder
19,14202506,14228559,PRKACA,-,Body_Mass_Disorder
19,18704034,18717660,CRLF1,-,Body_Mass_Disorder
19,40315989,40324841,DYRK1B,-,Body_Mass_Disorder
19,40736223,40791302,AKT2,-,Body_Mass_Disorder
19,42905665,42931578,LIPE,-,Body_Mass_Disorder
19,50194364,50216988,CPT1C,+,Body_Mass_Disorder
19,50887579,50921275,POLD1,+,Body_Mass_Disorder
2,1792884,2335045,MYT1L,-,Body_Mass_Disorder
2,25383721,25391559,POMC,-,Body_Mass_Disorder
2,44502596,44547962,SLC3A1,+,Body_Mass_Disorder
2,73612885,73837046,ALMS1,+,Body_Mass_Disorder
2,88856258,88927094,EIF2AK3,-,Body_Mass_Disorder
2,113587336,113594356,IL1B,-,Body_Mass_Disorder
2,129023053,129076171,HS6ST1,-,Body_Mass_Disorder
2,182540832,182545392,NEUROD1,-,Body_Mass_Disorder
2,190920425,190927455,MSTN,-,Body_Mass_Disorder
2,227596032,227663506,IRS1,-,Body_Mass_Disorder
2,241526132,241538526,CAPN10,+,Body_Mass_Disorder
20,10385427,10414887,MKKS,-,Body_Mass_Disorder
20,42984440,43036115,HNF4A,+,Body_Mass_Disorder
20,54823787,54824871,MC3R,+,Body_Mass_Disorder
20,57414794,57486250,GNAS,+,Body_Mass_Disorder
22,37154245,37172177,IFT27,-,Body_Mass_Disorder
22,50964180,50968514,TYMP,-,Body_Mass_Disorder
3,12393000,12475855,PPARG,+,Body_Mass_Disorder
3,24158644,24536313,THRB,-,Body_Mass_Disorder
3,47057897,47205467,SETD2,-,Body_Mass_Disorder
3,97483594,97517373,ARL6,+,Body_Mass_Disorder
3,170714136,170744768,SLC2A2,-,Body_Mass_Disorder
3,178866310,178952497,PIK3CA,+,Body_Mass_Disorder
3,186560462,186576252,ADIPOQ,+,Body_Mass_Disorder
3,196433147,196439123,CEP19,-,Body_Mass_Disorder
4,3076407,3245687,HTT,+,Body_Mass_Disorder
4,3076407,3245687,SLC6A4,+,Body_Mass_Disorder
4,6271576,6304992,WFS1,+,Body_Mass_Disorder
4,100485239,100545154,MTTP,+,Body_Mass_Disorder
4,103422485,103538459,NFKB1,+,Body_Mass_Disorder
5,42423876,42721980,GHR,+,Body_Mass_Disorder
5,67511583,67597649,PIK3R1,+,Body_Mass_Disorder
5,95726039,95768985,PCSK1,-,Body_Mass_Disorder
5,142657495,142784045,NR3C1,-,Body_Mass_Disorder
5,149109814,149234585,PPARGC1B,+,Body_Mass_Disorder
6,32006092,32009447,CYP21A2,+,Body_Mass_Disorder
6,100836749,100911811,SIM1,-,Body_Mass_Disorder
6,105175967,105307794,HACE1,-,Body_Mass_Disorder
6,152128453,152424408,ESR1,+,Body_Mass_Disorder
7,19155090,19157295,TWIST1,-,Body_Mass_Disorder
7,22766765,22771621,IL6,+,Body_Mass_Disorder
7,44183869,44198887,GCK,-,Body_Mass_Disorder
7,87031360,87105019,ABCB4,-,Body_Mass_Disorder
7,94927668,94953884,PON1,-,Body_Mass_Disorder
7,100770369,100782547,SERPINE1,+,Body_Mass_Disorder
7,113516881,113559082,PPP1R3A,-,Body_Mass_Disorder
7,127250345,127255780,PAX4,-,Body_Mass_Disorder
7,127881330,127897682,LEP,+,Body_Mass_Disorder
7,150750898,150755052,CDK5,-,Body_Mass_Disorder
8,11351520,11422108,BLK,+,Body_Mass_Disorder
8,19796581,19824770,LPL,+,Body_Mass_Disorder
8,42128819,42190171,IKBKB,+,Body_Mass_Disorder
8,96257140,96281462,C8orf37,-,Body_Mass_Disorder
8,103216728,103251059,RRM2B,-,Body_Mass_Disorder
8,119935795,119964383,TNFRSF11B,-,Body_Mass_Disorder
8,140742585,141468678,TRAPPC9,-,Body_Mass_Disorder
9,33384947,33402517,AQP7,-,Body_Mass_Disorder
9,87283465,87638505,NTRK2,+,Body_Mass_Disorder
9,139981378,140003639,MAN1B1,+,Body_Mass_Disorder
1,21835857,21904905,ALPL,+,Bone_and_Uric_Acid_Disorder
1,40723721,40759856,ZMPSTE24,+,Bone_and_Uric_Acid_Disorder
1,43391045,43424847,SLC2A1,-,Bone_and_Uric_Acid_Disorder
1,45965855,45976739,MMACHC,+,Bone_and_Uric_Acid_Disorder
1,100315639,100389579,AGL,+,Bone_and_Uric_Acid_Disorder
1,115828536,115880857,NGF,-,Bone_and_Uric_Acid_Disorder
1,120454175,120612317,NOTCH2,-,Bone_and_Uric_Acid_Disorder
1,151254790,151264381,ZNF687,+,Bone_and_Uric_Acid_Disorder
1,160258376,160313354,COPA,-,Bone_and_Uric_Acid_Disorder
1,186265404,186283688,PRG4,+,Bone_and_Uric_Acid_Disorder
1,193091087,193223942,CDC73,+,Bone_and_Uric_Acid_Disorder
1,196621007,196716634,CFH,+,Bone_and_Uric_Acid_Disorder
1,204123943,204135465,REN,-,Bone_and_Uric_Acid_Disorder
1,206940947,206945839,IL10,-,Bone_and_Uric_Acid_Disorder
1,230838271,230850336,AGT,-,Bone_and_Uric_Acid_Disorder
1,239792372,240072717,CHRM3,+,Bone_and_Uric_Acid_Disorder
10,6052656,6104333,IL2RA,-,Bone_and_Uric_Acid_Disorder
10,44872509,44880545,CXCL12,-,Bone_and_Uric_Acid_Disorder
10,73855789,73976199,ASCC1,-,Bone_and_Uric_Acid_Disorder
10,96698414,96749148,CYP2C9,+,Bone_and_Uric_Acid_Disorder
10,103529886,103535759,FGF8,-,Bone_and_Uric_Acid_Disorder
10,104154336,104162286,NFKB2,+,Bone_and_Uric_Acid_Disorder
10,123237843,123357972,FGFR2,-,Bone_and_Uric_Acid_Disorder
10,124221040,124274424,HTRA1,+,Bone_and_Uric_Acid_Disorder
11,532241,535550,HRAS,-,Bone_and_Uric_Acid_Disorder
11,2904447,2906995,CDKN1C,-,Bone_and_Uric_Acid_Disorder
11,5246695,5248301,HBB,-,Bone_and_Uric_Acid_Disorder
